IC,	DMTWSILRUYQNKFEJCAZBPGXOHV,	1924,	Commercial Enigma A B
IIC,	HQZGPJTMOBLNCIFDYAWVEUSRKX,	1924,	Commercial Enigma A B
IIIC,	UQNTLSZFMREHDPXKIBVYGJCWOA,	1924,	Commercial Enigma A B
I,	JGDQOXUSCAMIFRVTPNEWKBLZYH,	7 February 1941,	German Railway (Rocket)
II,	NTZPSFBOKMWRCJDIVLAEYUXHGQ,	7 February 1941,	German Railway (Rocket)
III,JVIUBHTCDYAKEQZPOSGXNRMWFL,	7 February 1941,	German Railway (Rocket)
I-K,	PEZUOHXSCVFMTBGLRINQJWAYDK,	February 1939,	Swiss K
II-K,	ZOUESYDKFWPCIQXHMVBLGNJRAT,	February 1939,	Swiss K
III-K,	EHRVXGAOBQUSIMZFLYNWKTPDJC,	February 1939,	Swiss K
I,	EKMFLGDQVZNTOWYHXUSPAIBRCJ,	1930,	Enigma I
II,	AJDKSIRUXBLHWTMCQGZNPYFVOE,	1930,	Enigma I
III,	BDFHJLCPRTXVZNYEIWGAKMUSQO,	1930,	Enigma I
IV,	ESOVPZJAYQUIRHXLNFTGKDCMWB,	December 1938,	M3 Army
V,	VZBRGITYUPSDNHLXAWMJQOFECK,	December 1938,	M3 Army
VI,	JPGVOUMFYQBENHZRDKASXLICTW,	1939,	M3 & M4 Naval (FEB 1942)
VII,	NZJHGRCXMYSWBOUFAIVLPEKQDT,	1939,	M3 & M4 Naval (FEB 1942)
VIII,	FKQHTLXOCBJSPDZRAMEWNIUYGV,	1939,	M3 & M4 Naval (FEB 1942)

